project,name,ssn,sex,race,hours,gross
I-690,Hayward Baker,244,Male,White,3,173.4
I-690,Hayward Baker,245,Male,White,42,1575.52
I-690,Herbert Darling,246,Male,Black,89,2845.95
I-690,Herbert Darling,247,Male,Black,86.5,1367.01
I-690,Herbert Darling,248,Male,White,116.5,4855.99
I-690,Herbert Darling,249,Male,White,36,1268.82
I-690,Herbert Darling,250,Male,White,240.5,10475.4
I-690,Herbert Darling,251,Male,White,90,3646.27
I-690,Herbert Darling,252,Male,White,36,1664.4
I-690,Herbert Darling,253,Male,White,114,4262.97
I-690,Herbert Darling,254,Male,White,229,8104.87
I-690,Herbert Darling,255,Male,White,91,3879
I-690,Herbert Darling,256,Male,White,16,567.04
I-690,Herbert Darling,257,Male,White,36,1503.28
I-690,Herbert Darling,258,Male,White,71,2537.64
I-690,Herbert Darling,259,Male,White,81,2761.71
I-690,Herbert Darling,260,Male,White,155,6566.96
I-690,Herbert Darling,261,Male,White,210,9762.9
I-690,Herbert Darling,262,Male,White,90,2757.3
I-690,Joseph Lane Construction,263,Male,White,167,7105.76
I-690,Joseph Lane Construction,264,Male,White,169,7323.6
I-690,Joseph Lane Construction,265,Female,White,11,297
I-690,Joseph Lane Construction,266,Male,White,56,3164
I-690,Joseph Lane Construction,267,Male,White,168,4959.08
I-690,Joseph Lane Construction,268,Male,White,168.5,4979.98
I-690,Joseph Lane Construction,269,Male,White,24.5,1154.01
I-690,Joseph Lane Construction,270,Male,White,89,4104.77
I-690,Joseph Lane Construction,271,Male,White,12,499
I-690,Joseph Lane Construction,272,Male,Black,151.5,4429.74
I-690,Joseph Lane Construction,273,Male,Hispanic,199.5,9147.07
I-690,Kocher-O'Brien Construction,274,Male,Native,10,600
I-690,Kocher-O'Brien Construction,275,Male,White,8,480
I-690,Kocher-O'Brien Construction,276,Male,White,16,471.84
I-690,Kocher-O'Brien Construction,277,Male,White,8,232.8
I-690,Kocher-O'Brien Construction,278,Male,White,16,471.84
I-690,LM Sessler Excavating,279,Male,Black,73.5,2615.33
I-690,LM Sessler Excavating,280,Male,Hispanic,213.5,6654.6
I-690,LM Sessler Excavating,281,Male,White,55.5,1826.45
I-690,LM Sessler Excavating,282,Male,White,131.5,4300.9
I-690,LM Sessler Excavating,283,Male,White,42,1917.6
I-690,LM Sessler Excavating,284,Male,White,140.5,6313.8
I-690,LM Sessler Excavating,285,Male,White,427,19151.78
I-690,LM Sessler Excavating,286,Male,White,180.5,8411.06
I-690,LM Sessler Excavating,287,Male,White,22,689.76
I-690,LM Sessler Excavating,288,Male,White,193,8384.4
I-690,LM Sessler Excavating,289,Male,White,18,801.42
I-690,LM Sessler Excavating,290,Male,White,78.5,3417
I-690,LM Sessler Excavating,291,Male,White,4.5,165.26
I-690,LM Sessler Excavating,292,Male,White,139.5,6415.8
I-690,LM Sessler Excavating,293,Male,White,140.5,6133.2
I-690,LM Sessler Excavating,294,Male,White,148,4481.23
I-690,LM Sessler Excavating,295,Male,White,237,7074.94
I-690,LM Sessler Excavating,296,Male,White,10.3,237.03
I-690,LM Sessler Excavating,297,Male,White,32,1305.6
I-690,LM Sessler Excavating,298,Male,White,251.5,7396.47
I-690,LM Sessler Excavating,299,Male,White,94.5,2796.78
I-690,LM Sessler Excavating,300,Male,White,74,3148.17
I-690,LM Sessler Excavating,301,Male,White,151,6774.4
I-690,LM Sessler Excavating,302,Male,White,210.5,6653.15
I-690,LM Sessler Excavating,303,Male,White,46,1446.46
I-690,LM Sessler Excavating,304,Male,White,153.5,5072.93
I-690,LM Sessler Excavating,305,Male,White,72,3277.23
I-690,LM Sessler Excavating,306,Male,White,66,2636.05
I-690,LM Sessler Excavating,307,Male,White,486.5,22033.48
I-690,Longhouse Construction,308,Male,Native,54,1728
I-690,Longhouse Construction,309,Male,Native,40,600
I-690,Longhouse Construction,310,Male,Native,48,1408
I-690,Longhouse Construction,311,Female,Native,24,696
I-690,Longhouse Construction,312,Male,Native,44,714
I-690,Longhouse Construction,313,Male,Native,23,398.5
I-690,Longhouse Construction,314,Male,Native,200,5945
I-690,Longhouse Construction,315,Male,Native,254,7929.5
I-690,Longhouse Construction,316,Male,Black,311,9150.5
I-690,Longhouse Construction,317,Male,White,24,696
I-690,Longhouse Construction,318,Male,White,24,696
I-690,Longhouse Construction,319,Male,White,18,725
I-690,Longhouse Construction,320,Male,White,38,1121
I-690,Longhouse Construction,321,Male,White,130,3037
I-690,Longhouse Construction,322,Male,White,192.5,3445
I-690,Longhouse Construction,323,Male,White,110,3206
I-690,Longhouse Construction,324,Male,White,28,736
I-690,Longhouse Construction,325,Male,White,198,7057
I-690,Longhouse Construction,326,Male,White,185.5,6109
I-690,Longhouse Construction,327,Male,White,165,5830
I-690,Longhouse Construction,328,Male,White,8,244
I-690,Longhouse Construction,329,Male,White,102,2495.5
I-690,Longhouse Construction,330,Male,White,464,15478
I-690,Longhouse Construction,331,Male,White,69.5,1233.5
I-690,Longhouse Construction,332,Male,White,403,12519
I-690,Longhouse Construction,333,Male,White,37,1184
I-690,Longhouse Construction,334,Male,White,8,232
I-690,Longhouse Construction,335,Male,White,72,2096
I-690,Longhouse Construction,336,Male,White,906,30267
I-690,Longhouse Construction,337,Male,White,34,1239
I-690,Longhouse Construction,338,Male,White,8,120
I-690,Longhouse Construction,339,Male,White,251.5,9425
I-690,Longhouse Construction,340,Male,White,13,377
I-690,Longhouse Construction,341,Male,White,72,2352
I-690,Longhouse Construction,342,Male,White,61,1879.75
I-690,Longhouse Construction,343,Male,White,116,3724
I-690,Longhouse Construction,344,Male,White,8,348
I-690,Longhouse Construction,345,Male,White,11,231
I-690,Longhouse Construction,346,Male,White,45,2023
I-690,Longhouse Construction,347,Male,White,58.5,961.5
I-690,Longhouse Construction,348,Male,White,91,2639
I-690,Longhouse Construction,349,Male,White,41,1782
I-690,Longhouse Construction,350,Male,White,61,1841.5
I-690,Longhouse Construction,351,Male,White,77,2864.25
I-690,Longhouse Construction,352,Male,White,78,2293
I-690,Longhouse Construction,353,Male,White,13,391.5
I-690,Longhouse Construction,354,Male,White,32,938
I-690,Longhouse Construction,355,Male,White,40,1360
I-690,Longhouse Construction,356,Male,White,32,1024
I-690,Longhouse Construction,357,Male,White,16,464
I-690,Longhouse Construction,358,Male,White,32,544
I-690,Longhouse Construction,359,Male,White,8,180
I-690,Longhouse Construction,360,Male,White,93,2121
I-690,Longhouse Construction,361,Male,White,32,736
I-690,Longhouse Construction,362,Male,White,27,783
I-690,O'Connell Electric,363,Male,White,123,5576.8
I-690,O'Connell Electric,364,Male,White,10,611.6
I-690,O'Connell Electric,365,Male,White,33,1217.7
I-690,O'Connell Electric,366,Male,White,1064,52792.84
I-690,O'Connell Electric,367,Male,White,8,315.36
I-690,O'Connell Electric,368,Male,White,8,197.2
I-690,O'Connell Electric,369,Male,White,2,86.02
I-690,O'Connell Electric,370,Male,White,41,1272.39
I-690,O'Connell Electric,371,Male,White,1270,56934.64
I-690,O'Connell Electric,372,Male,White,5,91.25
I-690,O'Connell Electric,373,Male,White,18,811.8
I-690,O'Connell Electric,374,Male,White,8,525.6
I-690,O'Connell Electric,375,Male,White,160,4449.06
I-690,O'Connell Electric,376,Male,White,174,4554.98
I-690,O'Connell Electric,377,Male,White,2142,104763.07
I-690,O'Connell Electric,378,Male,White,5,50
I-690,O'Connell Electric,379,Male,White,27,690.93
I-690,O'Connell Electric,380,Male,White,265,11443.52
I-690,O'Connell Electric,381,Male,White,8,88
I-690,O'Connell Electric,382,Male,White,18,974.16
I-690,O'Connell Electric,383,Male,White,65,2355.1
I-690,O'Connell Electric,384,Male,White,10,541.2
I-690,O'Connell Electric,385,Male,White,42,2206.84
I-690,Ravi Engineering,386,Male,White,581.5,33070.92
I-690,Ravi Engineering,387,Male,White,14,790.58
I-690,Ravi Engineering,388,Male,White,1989,73694.36
I-690,Sessler Environmental,389,Male,White,54,1563.84
I-690,Sessler Environmental,390,Male,White,27,865.94
I-690,Sessler Environmental,391,Male,White,26.5,820.79
I-690,Sessler Environmental,392,Male,White,21,660.66
I-690,Sessler Environmental,393,Male,White,48,1390.08
I-690,Sessler Environmental,394,Male,White,62,1795.52
I-690,Sessler Environmental,395,Male,White,25,776.36
I-690,Sessler Environmental,396,Male,White,62,1795.52
I-690,Sessler Environmental,397,Male,White,5,140
I-690,Sessler Environmental,398,Male,White,16,503.36
I-690,Syrstone,399,Male,White,16,692.32
I-690,Syrstone,400,Male,White,17,520.63
Hancock,Danforth,0060,NA,NA,24,449.04
Hancock,Danforth,1160,NA,NA,32,1088.32
Hancock,Danforth,1671,NA,NA,40,1098.4
Hancock,Danforth,1841,NA,NA,40,1098.4
Hancock,Danforth,2202,NA,NA,7,182
Hancock,Danforth,3090,NA,NA,165.5,2819.41
Hancock,Danforth,3431,NA,NA,363,14343.7
Hancock,Danforth,3666,NA,NA,225.5,6219.71
Hancock,Danforth,401,NA,NA,364.5,13765.09
Hancock,Danforth,402,NA,NA,96,2993.28
Hancock,Danforth,4277,NA,NA,110.5,1934.8600000000001
Hancock,Danforth,4382,NA,NA,168,5713.68
Hancock,Danforth,4725,NA,NA,197,4690.57
Hancock,Danforth,5589,NA,NA,15.5,503.13
Hancock,Danforth,6000,NA,NA,3,82.38
Hancock,Danforth,6357,NA,NA,379,10995.68
Hancock,Danforth,6589,NA,NA,44,1734.44
Hancock,Danforth,7343,NA,NA,189,5258.62
Hancock,Danforth,7509,NA,NA,88,3393.08
Hancock,Danforth,9052,NA,NA,40,1360.4
Hancock,Danforth,9466,NA,NA,190,2869
Hancock,Danforth,9922,NA,NA,275,6045.92
Hancock,Environmental,0249,NA,NA,49,2205.07
Hancock,Environmental,0285,NA,NA,8,1154.39
Hancock,Environmental,0298,NA,NA,31,1511.72
Hancock,Environmental,0878,NA,NA,104,3717.51
Hancock,Environmental,0900,NA,NA,157,4882.45
Hancock,Environmental,1001,NA,NA,122.3,3806.81
Hancock,Environmental,1479,NA,NA,120,3957.8100000000004
Hancock,Environmental,1712,NA,NA,138.5,4323.96
Hancock,Environmental,3169,NA,NA,112,3901.26
Hancock,Environmental,3333,NA,NA,127.5,4290.95
Hancock,Environmental,3846,NA,NA,149.5,7726.87
Hancock,Environmental,4136,NA,NA,103,4523.9400000000005
Hancock,Environmental,4151,NA,NA,9.3,1284.57
Hancock,Environmental,4956,NA,NA,184,5710.97
Hancock,Environmental,5384,NA,NA,352.5,15712.83
Hancock,Environmental,5589,NA,NA,178.5,8637.59
Hancock,Environmental,5625,NA,NA,108,3135.4
Hancock,Environmental,5774,NA,NA,154,4770.01
Hancock,Environmental,6019,NA,NA,133,4943.42
Hancock,Environmental,6626,NA,NA,27.5,733.85
Hancock,Environmental,6669,NA,NA,107.5,5424.01
Hancock,Environmental,6916,NA,NA,127.5,4381.860000000001
Hancock,Environmental,7070,NA,NA,28.5,773.03
Hancock,Environmental,7495,NA,NA,85.5,3465.65
Hancock,Environmental,7603,NA,NA,67.5,4921.68
Hancock,Environmental,9016,NA,NA,116,4000.21
Hancock,Environmental,9034,NA,NA,97,4482.2
Hancock,Environmental,9368,NA,NA,8,226.16
Hancock,Environmental,9545,NA,NA,182.5,8708.16
Hancock,Environmental,9577,NA,NA,184.5,10016.130000000001
Hancock,Environmental,9782,NA,NA,145,4392.7
Hancock,Environmental,9884,NA,NA,9,1442.08
Hancock,Longhouse,1960,Male,White,4.5,144
Hancock,Longhouse,2336,Male,White,120,2040
Hancock,Longhouse,3328,Male,Black,59,1711
Hancock,Longhouse,3451,Male,White,112,3584
Hancock,Longhouse,4117,Male,White,27,864
Hancock,Longhouse,4397,Male,White,8,256
Hancock,Longhouse,5982,Male,White,136,4624
Hancock,M&S Fire Protection,403,NA,NA,287.5,10496.62
Hancock,Niagara Erecting,0388,NA,NA,16,464
Hancock,Niagara Erecting,2029,NA,NA,33,1583.51
Hancock,Niagara Erecting,2345,NA,NA,4,146.56
Hancock,Niagara Erecting,2576,NA,NA,135,4828.5
Hancock,Niagara Erecting,4123,NA,NA,112,3480
Hancock,Niagara Erecting,5395,NA,NA,152,6887.4
Hancock,Niagara Erecting,8090,NA,NA,128,3944
Hancock,Niagara Erecting,8248,NA,NA,136,4336
Hancock,Patricia Electric,0030,Male,White,364,14766.17
Hancock,Patricia Electric,0315,Male,White,151,5971.89
Hancock,Patricia Electric,2381,Male,White,3,154.4
Hancock,Patricia Electric,2532,Male,White,7.5,318.45
Hancock,Patricia Electric,2572,Male,White,322.5,6376.9800000000005
Hancock,Patricia Electric,3050,Male,White,331.5,7860.83
Hancock,Patricia Electric,3972,Male,White,460.5,20223
Hancock,Patricia Electric,7636,Male,White,393,15223.7
Hancock,Patricia Electric,9037,Male,White,232,8904.53
Hancock,Quality Structures,0079,Male,White,242.5,9421.83
Hancock,Quality Structures,0095,Male,White,334.5,8342.95
Hancock,Quality Structures,0497,Male,White,680,27697.11
Hancock,Quality Structures,0966,Male,White,52,1397.5500000000002
Hancock,Quality Structures,1017,Male,White,150,3993
Hancock,Quality Structures,1390,Male,Black,395,11130.83
Hancock,Quality Structures,1468,Male,White,452,11761.2
Hancock,Quality Structures,1700,Male,White,346.5,9548.11
Hancock,Quality Structures,1793,Male,White,372,10222.4
Hancock,Quality Structures,1806,Male,Black,266,6763.91
Hancock,Quality Structures,1817,Male,White,121,3133.9
Hancock,Quality Structures,1829,Male,Black,498.5,13812.15
Hancock,Quality Structures,2002,Male,White,533.5,15524.300000000001
Hancock,Quality Structures,2078,Male,White,407,6446.3
Hancock,Quality Structures,2085,Male,White,423.5,12034.05
Hancock,Quality Structures,2133,Male,White,581,17284.39
Hancock,Quality Structures,2237,Male,Black,59,1610.5100000000002
Hancock,Quality Structures,2495,Male,White,452.5,14322.11
Hancock,Quality Structures,3082,Male,White,666,30956.64
Hancock,Quality Structures,3131,Male,White,494,18786.48
Hancock,Quality Structures,3423,Male,White,117.5,3332.95
Hancock,Quality Structures,3555,Male,White,483,15728.94
Hancock,Quality Structures,3712,Male,White,512,16487.8
Hancock,Quality Structures,3877,Male,White,376,9994.6
Hancock,Quality Structures,3906,Male,White,42,1113.28
Hancock,Quality Structures,4000,Male,Multiracial,334.5,8518.4
Hancock,Quality Structures,4034,Male,White,298.5,7780
Hancock,Quality Structures,4074,Male,White,381,15528.06
Hancock,Quality Structures,4128,Male,White,435.5,15570.11
Hancock,Quality Structures,4341,Male,White,350,9941.93
Hancock,Quality Structures,4373,Male,White,55,1449.8400000000001
Hancock,Quality Structures,4674,Male,White,161,4802.6
